value,timestamp
0,2024-07-04 14:01:48.929958
0,2024-07-04 14:01:49.210808
0,2024-07-04 14:01:49.491286
0,2024-07-04 14:01:49.771855
0,2024-07-04 14:01:50.052543
0,2024-07-04 14:01:50.332993
0,2024-07-04 14:01:50.613461
0,2024-07-04 14:01:50.894093
0,2024-07-04 14:01:51.175200
0,2024-07-04 14:01:51.455831
0,2024-07-04 14:01:51.736658
0,2024-07-04 14:01:52.017319
0,2024-07-04 14:01:52.298126
0,2024-07-04 14:01:52.578814
0,2024-07-04 14:01:52.859422
0,2024-07-04 14:01:53.139942
0,2024-07-04 14:01:53.420516
0,2024-07-04 14:01:53.701008
0,2024-07-04 14:01:53.981459
0,2024-07-04 14:01:54.261934
0,2024-07-04 14:01:54.542377
0,2024-07-04 14:01:54.822826
0,2024-07-04 14:01:55.103358
0,2024-07-04 14:01:55.384075
0,2024-07-04 14:01:55.664656
0,2024-07-04 14:01:55.945186
0,2024-07-04 14:01:56.225728
0,2024-07-04 14:01:56.506203
0,2024-07-04 14:01:56.786923
0,2024-07-04 14:01:57.067388
0,2024-07-04 14:01:57.347816
0,2024-07-04 14:01:57.628249
0,2024-07-04 14:01:57.908712
