TimeStamp,AECFREEZEONOFF,AECNORM,AECPATHCHANGE,RT60,HPFONOFF,RT60ONOFF,AECSILENCELEVEL,AECSILENCEMODE,AGCONOFF,AGCMAXGAIN,AGCDESIREDLEVEL,AGCGAIN,AGCTIME,CNIONOFF,FREEZEONOFF,STATNOISEONOFF,GAMMA_NS,MIN_NS,NONSTATNOISEONOFF,GAMMA_NN,MIN_NN,ECHOONOFF,GAMMA_E,GAMMA_ETAIL,GAMMA_ENL,NLATTENONOFF,NLAEC_MODE,SPEECHDETECTED,FSBUPDATED,FSBPATHCHANGE,TRANSIENTONOFF,VOICEACTIVITY,STATNOISEONOFF_SR,NONSTATNOISEONOFF_SR,GAMMA_NS_SR,GAMMA_NN_SR,MIN_NS_SR,MIN_NN_SR,GAMMAVAD_SR,DOAANGLE
2024-07-04 14:01:53.759788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-04 14:01:58.134428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
